State,District,Latitude,Longitude,Population,Male,Female,Literate,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,1483347,100.15,54.11
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,2310960,97.68,56.63
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,2667878,99.7,63.92
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,3288577,100.58,63.8
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,2960441,100.28,60.57
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2892155,95.35,73.34
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,2206829,100.78,58.44
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,1630234,101.11,58.28
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,3009718,99.23,66.63
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,2127161,98.77,52.48
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,1940646,97.67,47.88
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,1637137,99.16,53.97
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,2001019,98.25,57.36
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,1250641,1300694,1389810,104.0,54.47
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,1904435,98.13,56.05
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,1341738,1361376,1495381,101.46,55.32
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,1161477,1182997,1238388,101.85,52.82
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,1759281,1753295,2065023,99.66,58.79
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,1964918,1972048,2652389,100.36,67.37
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,76948,71278,73174,92.63,49.37
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,38775,39915,38449,102.94,48.86
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,50116,49098,62576,97.97,63.07
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,45318,46758,36606,103.18,39.76
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,76221,69505,83062,91.19,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,28053,26027,31849,92.78,58.89
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,41843,41187,54057,98.43,65.11
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,89182,87391,121048,97.99,68.55
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,29151,20826,26073,71.44,52.17
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,57604,54371,47974,94.39,42.84
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,18699,16621,18195,88.89,51.51
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,41758,41690,45278,99.84,54.26
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,46155,37792,48492,81.88,57.77
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,58168,54106,64746,93.02,57.67
Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,867004,826618,897058,95.34,52.97
Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,375818,362986,434078,96.59,58.75
Assam,Cachar,24.815570668693017,92.86849650455927,1736617,886284,850333,1174128,95.94,67.61
Assam,Darrang,26.58463215962442,92.04141338028155,928500,475273,453227,487039,95.36,52.45
Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,351249,334884,423028,95.34,61.65
Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,676434,649901,884531,96.08,66.69
Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,513292,494891,563577,96.42,55.9
Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,543161,523727,721764,96.42,67.65
Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,337890,321406,407366,95.12,61.79
Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,556805,535451,794929,96.16,72.78
Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,778461,739081,995319,94.94,65.59
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,490167,466146,557214,95.1,58.27
Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,625864,602822,795297,96.32,64.73
